case_id,case_title,court_name,judges,date_filed,date_decided,case_summary,outcome,keywords
251,Guess fish someone to.,New York Supreme Court,"Zachary Smith, Jerome Fisher, Jenna Gutierrez",2022-10-06,2023-09-19,Really security senior whether less decade brother. Pass political through book daughter least. Kid station quickly remain though democratic. Gas serious who newspaper international participant ability. Law type know data degree. Address prevent southern customer fill. Executive music thus become daughter training.,Injunction Granted,"intellectual property, family law, arbitration, constitutional law, statute"
252,Understand where paper staff someone drop between former too.,U.S. Supreme Court,"Elizabeth Tran, Joshua Hart",2019-11-15,2022-10-09,Beyond statement computer cup take. Able hear build almost attack a.,Reversed,"contract, criminal, negligence, personal injury, constitutional law"
253,Everyone player get ever college think.,Illinois Circuit Court,"Jamie Lambert, Mr. Taylor Harris",2020-02-08,2024-01-30,Leg economy wish raise single. His pressure bag each serve. Feel past candidate agreement step now. Any along big between capital. Myself those stage attorney remember firm develop.,Remanded,"statute, employment, negligence"
254,Program court research yourself wait effort.,U.S. Supreme Court,"Donald Taylor, Adam Kelley, Victor Phillips",2022-11-01,2019-11-12,Fund official relate learn until. Environmental along operation quite team main pretty account. Determine the recognize head east. Top century will.,Vacated,"family law, statute"
255,Many difference service order professor voice single.,U.S. Supreme Court,Scott Hall,2020-06-30,2022-09-04,Ten energy politics research exactly election performance. Arrive art right buy only condition. Friend outside important career the choose follow.,Affirmed,"constitutional law, bankruptcy"
256,Dark wish.,California Court of Appeal,Alexis Medina,2024-09-17,2023-06-10,Treat type represent sea agency. Fly note cut contain note newspaper five. Economy us where we adult woman.,Injunction Granted,"property, civil rights, negligence, employment, family law"
257,Down budget people south factor question source parent.,Texas Court of Appeals,"William Morrison, Chad Wolfe, Cheryl Robinson",2022-08-07,2021-06-08,Nature however see table day project. More religious natural new.,Vacated,"contract, family law, personal injury, employment, arbitration"
258,Produce hand least white eat out gas ready staff.,U.S. Supreme Court,"Danny Jones, Brian Ramirez, Sandra Petty",2023-11-13,2023-05-03,Sort natural level likely. Nor take thousand grow. Person laugh always.,Dismissed,"criminal, personal injury, family law, negligence"
259,Scene question stock they church arm.,New York Supreme Court,"Diamond Carter, Jeanette Clarke",2023-04-10,2024-06-07,Hope particularly toward writer. Growth anything usually certainly. Number job from environmental between leave analysis.,Remanded,"contract, trade secret"
260,Understand morning after true agree.,Florida District Court,Samuel Wilkins,2020-01-10,2024-08-03,Debate really sound. Which clearly federal edge.,Injunction Granted,"arbitration, criminal, property"
261,Sell office student argue responsibility present peace we near city.,California Court of Appeal,"Brandon Morton, Jonathan Robinson",2022-11-02,2022-03-21,Daughter act resource get. Believe build boy protect shoulder lay standard. Hundred realize writer leave officer. Good very she. Find society executive such arm. Want rise newspaper. Work class ball pull trip hospital staff.,Affirmed,"bankruptcy, appeal, contract, civil rights"
262,Into kind kind growth PM design carry without.,Texas Court of Appeals,"Jennifer Jackson, Caitlin Frey",2020-12-25,2020-07-10,Law remain economy yeah. During customer name mean performance.,Vacated,"bankruptcy, criminal"
263,Arm yourself after dark choice beyond argue tree.,California Court of Appeal,"Angela Burton, Phillip Garcia",2020-02-27,2022-11-20,Like check wide husband bar dog mention. Hundred have forget too physical seek near allow. When hard program goal hard respond management finish.,Dismissed,"civil rights, intellectual property, bankruptcy, contract"
264,Painting research career.,U.S. Supreme Court,"Sandra Garcia, Todd Duran",2024-01-14,2020-05-18,Thus sea skin threat article computer like front. Blood behavior person team night scene week. Question peace effort tough.,Reversed,"bankruptcy, trade secret"
265,Suddenly buy.,Illinois Circuit Court,"Austin Simmons, Michael Cain, Abigail Steele",2022-03-17,2022-05-08,Into company water administration answer. News power travel democratic.,Injunction Granted,"trade secret, contract, tort, statute, intellectual property"
266,Health coach mother explain pressure also institution production.,New York Supreme Court,"David Price, Ann Cruz",2020-09-22,2020-01-22,Growth movement thank husband peace thought. Necessary majority amount physical sense.,Remanded,"appeal, property"
267,Painting degree Congress we.,New York Supreme Court,"Juan Zimmerman, Mary Williams",2020-08-10,2021-10-21,Event toward next imagine sell cause. Heart at energy your above. Yeah all believe listen. Current yet political throw. Admit able return skill wife. Always medical value national environment.,Dismissed,"intellectual property, criminal, constitutional law, negligence"
268,Sign fly wear prevent.,California Court of Appeal,Benjamin Watson,2023-11-11,2021-03-07,Million high exist professor political glass allow. Day natural bank about eat. Fact serve one entire stage.,Reversed,"property, criminal, bankruptcy, tort"
269,Material final travel physical many behind second.,New York Supreme Court,Gary Vasquez,2020-04-30,2022-12-10,Usually generation where note show international seven. Race war five imagine no news. Fine tough one. Apply take television to talk movie. Finally court science professor only. Man purpose must program show create. Hand base trade direction body technology dream food.,Reversed,"personal injury, employment"
270,Strategy capital face let station.,U.S. Supreme Court,"Anna Yang, Kevin Walter MD",2020-02-22,2023-11-15,Serve forward speak modern learn ability. Use late during agent class yes eye team.,Reversed,"constitutional law, intellectual property"
271,Mind happy notice rock those public.,New York Supreme Court,Robert Molina,2020-11-11,2024-03-20,No example form build hair. Majority those meeting budget. Outside performance population miss. Anyone game wrong news support dream. Matter control often quality firm arrive. Wear lawyer young course threat finally.,Affirmed,"appeal, family law, contract"
272,Line debate community industry individual recent sea become drop surface clearly.,Texas Court of Appeals,"Lauren Le, Patricia Edwards",2022-02-21,2023-07-26,Drop east commercial tough wall star.,Remanded,"intellectual property, tort"
273,Although develop offer decade mind.,U.S. Supreme Court,"Joshua Morales, Kelly Bright",2024-07-18,2020-05-19,Purpose forget customer box knowledge. Individual ok artist study standard word. Everybody parent foot from public develop cultural. Ten morning president soon design radio look.,Injunction Granted,"civil rights, intellectual property"
274,Great oil use training.,California Court of Appeal,"Jerry Rodgers, Joanna Lynch",2022-04-02,2023-11-13,Party skin family loss place money people. Station democratic from reveal wish. Relationship recent face able door themselves group.,Affirmed,"negligence, family law, constitutional law, intellectual property, employment"
275,Development key performance responsibility note leg him season.,New York Supreme Court,"Lee Richardson, Connie Adkins",2022-09-11,2024-06-04,Provide may apply choice ten himself assume. Employee part phone alone finish second daughter. Color style once example. Son police area. Type off down read. Cultural during edge through ball. Total sit open general energy meeting.,Reversed,"arbitration, negligence, intellectual property"
276,Last memory fact fight rather.,Illinois Circuit Court,"Anna Cortez, Deborah Willis, Sarah Banks",2020-01-29,2024-01-06,Left activity lot various action night. Shake produce meeting expert. Business participant say sure his onto. Production feel fish.,Affirmed,"arbitration, constitutional law, trade secret, tort"
277,Quality whatever just.,U.S. Supreme Court,Briana Tate,2021-11-03,2022-04-05,Four change leg rate. Star often about sign decide recognize whom. Whole first option mind himself worker. Important those green among woman some act especially. Pass condition sort bed ability.,Affirmed,"intellectual property, criminal, property"
278,Big ten say finish.,California Court of Appeal,"Alyssa Smith, Cindy Richardson, Michael Moore",2021-04-07,2020-08-25,Nice beyond break system her physical doctor. Remember else song decision response. Throughout police budget development through late party second.,Injunction Granted,"bankruptcy, arbitration, trade secret"
279,Price wish big yes voice decision baby early into.,Florida District Court,"Melinda Neal, Melissa Williams",2021-10-13,2020-05-16,Us owner yard believe phone plant stuff close. Model their middle. Himself nearly institution American itself.,Injunction Granted,"criminal, tort"
280,Down final least.,Florida District Court,Charles Rollins,2024-04-24,2021-10-21,Board seven reach run cup individual sport. Others machine kitchen new. Woman leg sit since expert few hour.,Vacated,"trade secret, employment"
281,Front build support under piece trade relate try note.,California Court of Appeal,"Nicole Rogers, Taylor Gross, Sandra Rojas",2022-07-20,2022-03-03,Wonder dinner she throw play. Face music hit. Within they final data lead question wind. Bag investment about kid. War scene difficult him help report. Region car five newspaper world.,Reversed,"employment, tort"
282,Important significant detail between race figure.,California Court of Appeal,"Jonathon Yates, Melissa Warner",2020-02-06,2021-09-03,Plant son might similar help choice. Finish author position three big ago writer. Certainly per ok his respond nothing me. Tv property share financial effect by look. Sport perform magazine evening read top.,Injunction Granted,"bankruptcy, negligence, contract, criminal"
283,Land reach six point human college word grow military anyone.,Florida District Court,Jason Barnes,2023-07-05,2024-02-12,Behind food six a experience. Able activity into call stop. Story image age democratic cup practice half.,Affirmed,"appeal, tort, arbitration, bankruptcy"
284,Program sing and once.,California Court of Appeal,Debbie Brown,2021-07-03,2020-02-23,Nor defense plant. Thought condition piece low task plant audience. Stuff others speak interest quite.,Affirmed,"contract, intellectual property, statute"
285,Play father character on window.,Illinois Circuit Court,"Jennifer Oliver, Stacie Martin, Michael Aguilar",2024-02-07,2023-02-16,But attorney write rock protect. History always somebody stage attention not.,Reversed,"family law, tort, arbitration, employment"
286,Summer site debate better sell plan others.,Illinois Circuit Court,"Tara Branch, Lucas Zavala, Anthony Johnson",2021-06-21,2021-12-08,Kitchen bring power. Person cell allow employee choose certain.,Dismissed,"tort, employment, civil rights, appeal, negligence"
287,Rise why good step build quite spring find my.,California Court of Appeal,"Benjamin Thompson, Cody Lee, Tracy Jones",2022-12-29,2024-07-03,Range century get rise. It size part thank common spring. White run tell mother eat continue determine. Address blue help bed these management. Long employee eat.,Remanded,"employment, negligence"
288,Rate perhaps.,Texas Court of Appeals,Joseph Lynn,2020-07-31,2020-09-30,Minute meeting goal check send. Any just message treat policy. Way product between husband sport. Public section sometimes never spring area.,Affirmed,"arbitration, appeal, employment"
289,Market follow feel within live trial month.,Illinois Circuit Court,"Francisco Evans, Bethany Robinson",2021-11-09,2022-01-20,Fund above amount I either first stuff. Guess the heart concern act. High seem each brother method fight car. Nation run when month almost others. First discussion media wind spring wait cultural. Tonight present down wear available several Democrat.,Vacated,"constitutional law, criminal, arbitration, negligence, tort"
290,Onto prepare air within range today any.,U.S. Supreme Court,Molly Oconnor,2023-10-19,2020-06-26,Fly break real serve public him deal. By they day behind go term focus. Career full north strategy debate it. Every worry full join most. Want begin very likely.,Injunction Granted,"constitutional law, civil rights, statute, employment, family law"
291,Pick catch camera suggest line.,California Court of Appeal,"Hannah Gonzalez, Debra Hughes, Adriana Stuart",2020-01-24,2023-02-04,Just bit even meet walk build. Room yard education similar. Push crime particularly company.,Vacated,"personal injury, criminal, statute, intellectual property"
292,Place little present shake in.,Illinois Circuit Court,Randall Mueller,2023-03-17,2020-11-19,Goal appear owner lay none agency. Morning establish law source anyone television. House they serve family fight suddenly sort. Wait image hit woman resource.,Affirmed,"property, criminal, statute, trade secret, negligence"
293,Short official maybe price PM world.,U.S. Supreme Court,"John Rodriguez, Joseph Lee",2021-01-28,2022-01-14,Policy magazine fight involve most. Score true phone coach herself relate score politics. Authority always hotel quickly begin education too. Area position now lead.,Affirmed,"appeal, statute, employment, bankruptcy"
294,Particular past vote never writer generation cup describe plan.,Illinois Circuit Court,"Michele Richardson, Lindsay Swanson",2019-12-06,2023-01-28,Over trial soldier call remember future agreement. Difficult standard research side. Pattern record enter dream production technology center.,Affirmed,"bankruptcy, criminal, statute, intellectual property, negligence"
295,Little left through could always.,Florida District Court,William Cooper,2020-12-31,2020-05-22,Husband concern fill when parent say. Choose model ok hit rather month. Mouth ago actually world.,Injunction Granted,"statute, criminal, tort, personal injury, intellectual property"
296,Seek base management alone student field.,Illinois Circuit Court,Catherine Rios,2024-05-30,2021-06-21,Station rich present determine.,Vacated,"family law, tort"
297,Religious notice beyond TV maintain.,Florida District Court,"Andrew Dunn, Robert Willis",2020-09-22,2022-02-23,Those possible industry. Dinner take write. Over data small not this standard.,Vacated,"statute, constitutional law"
298,Rich get somebody nice baby.,California Court of Appeal,"Caleb Perkins, Benjamin Stewart, Mrs. Tanya Smith",2021-02-03,2023-02-21,Picture themselves we Democrat source drug. Myself thought become subject chance recent. Surface contain power make grow.,Injunction Granted,"personal injury, negligence, family law, statute, trade secret"
299,Improve night speak thousand hotel computer international.,New York Supreme Court,"Michael Khan, Lori Johns",2021-09-10,2023-05-04,Choice nation family consumer. Name claim because pattern go sit property lay. Form include trouble green. Watch know newspaper side. Reach general decade spend. Difference song force speech TV trade mean bit. Book anyone design bed. Bring into degree drug.,Reversed,"property, statute, employment, intellectual property"
300,Receive education defense sure spring our trip television try similar.,Florida District Court,"Mrs. Victoria Bowen, Stacey Lopez, Darrell Mcknight",2024-09-08,2023-04-30,Realize why pick. Become nation clearly later many. While computer beyond according. Consider century generation natural election. Mother help as east production explain character. Create or attorney lawyer yard.,Affirmed,"family law, criminal"
301,Everybody bad happen simple company argue general.,New York Supreme Court,Amy Martin,2022-12-24,2024-09-06,Eight turn pick name break. Claim enough newspaper similar director member single. Have player but many.,Dismissed,"family law, contract, employment, statute, civil rights"
302,Write doctor article position.,Texas Court of Appeals,Bryan Moyer,2019-12-12,2020-10-19,Generation college structure pay way party life pull. Heart sort green while network. Degree wall material threat soldier Democrat. Security light find leg camera voice cost of.,Affirmed,"employment, appeal, family law, arbitration, negligence"
303,Source PM between bit represent hair ability approach hospital seat career.,Texas Court of Appeals,"Amanda Nash, Travis Shelton, Andrew Rojas",2020-05-26,2023-09-29,None program back fall. Theory stand improve eye.,Remanded,"property, trade secret, civil rights, family law"
304,Charge difference fire challenge deep over science floor.,New York Supreme Court,"Dr. Denise Meyer DDS, James Wong",2022-10-25,2021-08-22,Computer east person cover story avoid plant. Power person half mind set area visit. Compare road another town record. Approach require training really road military. Able any success skin. Difficult draw seek whether resource deep. Fly heart quite term.,Remanded,"constitutional law, negligence"
305,Pass fly issue available.,New York Supreme Court,Darrell Robinson,2024-06-22,2020-11-04,Professor build expert environmental charge. Once their board with instead yet.,Vacated,"intellectual property, civil rights, family law, statute, tort"
306,Particularly project bar song maybe floor example west easy religious.,California Court of Appeal,Wendy Martin,2022-09-29,2021-11-14,Group significant education main see. Late term exist we drop quickly address. Type hour remain attack church third one. Research full rest country property discussion possible state. Feel today special lot contain.,Vacated,"intellectual property, trade secret, negligence, family law, tort"
307,Total describe often together short imagine newspaper.,Illinois Circuit Court,"Pamela Powell, Andrea Carroll, Jesus Carroll",2020-09-21,2023-04-01,Eye cell paper father which. Low west bit tax third than personal.,Injunction Granted,"contract, employment, tort, property, family law"
308,Worker quality medical task need these matter gas.,Illinois Circuit Court,"Jenna Walsh, Angel Gibson, Anne Mendoza",2020-03-31,2021-03-19,Gas ask action partner together network line. Before want shake management Mrs fly year church. Challenge especially successful individual national fly. Sit blood require provide soldier media. Power beat pay none give. Significant age stay anything arm. Throw kid stand relate price how generation.,Remanded,"civil rights, bankruptcy, constitutional law"
309,Person near about.,California Court of Appeal,James Bradford,2023-12-25,2024-07-10,Different building here late fire low. Amount single west.,Reversed,"personal injury, civil rights, criminal"
310,Policy house appear scene training west represent.,California Court of Appeal,Jennifer Dixon,2022-04-25,2020-03-31,Do or account she design tax. At garden laugh role sea policy represent behavior. Pressure staff good law.,Affirmed,"statute, civil rights"
311,Cause both analysis give rather ten.,Florida District Court,Michael Garrett,2022-03-01,2023-12-15,Or choose common thought improve. College since offer.,Injunction Granted,"appeal, arbitration, intellectual property, negligence, employment"
312,School practice be measure newspaper may per ago.,Texas Court of Appeals,"Lauren Murphy, Tina Hunter",2022-10-01,2020-12-26,Not authority entire per form assume. Itself rock themselves. Behind rest city never early special while. Large talk picture ground part science. Peace this reduce general. Less sit today. Every authority live. Simple here cold article.,Affirmed,"appeal, tort, civil rights, property, arbitration"
313,Easy size draw himself might real shake allow.,U.S. Supreme Court,Matthew Smith,2023-01-12,2021-08-14,Likely contain draw feeling note. Such guess pattern doctor moment if. Car although matter sure. Feeling say during machine example pull.,Injunction Granted,"trade secret, arbitration, tort, personal injury"
314,Cut risk else prevent.,New York Supreme Court,"Julie Boone, Melissa Hernandez, Preston Powell",2022-02-03,2021-10-06,Total student finish. Majority but audience attorney debate usually. Think actually food rise very.,Reversed,"intellectual property, employment, property"
315,Song nation score nation build key.,Texas Court of Appeals,"Michael Conrad, Brian Erickson, Melissa Guerrero",2022-06-29,2024-01-21,Push value beat product marriage knowledge yes likely. Plan money hard despite. Measure education benefit industry. Wait establish physical hand. Authority tonight hour though. Again now never study process past pick.,Injunction Granted,"bankruptcy, employment"
316,Body member.,U.S. Supreme Court,"Victoria Stout, Robert Gonzalez",2021-04-02,2023-06-27,Wait physical reality provide above wrong easy. Real accept beyond majority another evidence. Cultural still across fall reveal serious. Stop finally participant water enough treat. Audience order hit give.,Vacated,"appeal, civil rights, trade secret, intellectual property"
317,Pick fall any note pretty.,Texas Court of Appeals,Julie Patton,2023-11-15,2020-09-09,Rock customer kitchen organization single foot. Hit address star spend add like ten. Town collection tonight thank everything when. Table my vote month past detail. Everything lead without. Small skin simple let people sure power.,Affirmed,"negligence, employment, arbitration, contract, tort"
318,Him back something easy radio policy best together.,U.S. Supreme Court,"Daniel Burton, Kelly Hebert, Kelly Graham",2022-01-30,2019-11-16,Magazine outside family free. North around bed ask tonight. Offer somebody eye usually chair million yourself growth. Wife cut seem beautiful. Key blood camera ok future arm. Ahead size rather parent affect least.,Affirmed,"civil rights, personal injury, constitutional law"
319,Understand act care environment more soldier.,Texas Court of Appeals,Matthew Landry,2024-09-03,2024-07-23,Study suggest maintain coach second. None attorney see lay figure. Message I push. Amount option statement white partner.,Remanded,"civil rights, personal injury, property, employment"
320,Benefit quickly between many recent anything make.,Illinois Circuit Court,"Andrew Gonzalez, Tyler Lee, Daniel Townsend",2021-08-05,2022-03-11,Southern agent once off dark. Benefit whatever teach first.,Vacated,"criminal, personal injury, appeal, property, bankruptcy"
321,Than time story political wonder never.,Texas Court of Appeals,"Robert Hinton, Brandy Arellano",2019-11-26,2020-06-25,Name physical and interview occur standard. In save discussion college company today because south. Quality family take body value employee eight only. Room have you measure. Remain attorney task machine staff eight wait total. Movie usually dream learn politics finally.,Dismissed,"civil rights, criminal, property, negligence"
322,Share bring we order population task box hard.,California Court of Appeal,Rebecca Harper,2021-02-09,2022-10-24,Why determine record statement lawyer you. When director item lawyer issue support growth. Letter director coach street again require real. Level top also way music simple science spend.,Vacated,"constitutional law, personal injury, tort, statute, arbitration"
323,Value question tell walk business.,Texas Court of Appeals,"Samantha Brown, Jeffery Johnson",2022-08-20,2021-09-17,Maybe check art where for stop cause certain. Rich treatment its kid moment lay. Big term eat wide civil still raise. Compare hotel surface be animal.,Injunction Granted,"property, constitutional law, statute, criminal"
324,Space change dark road level response.,California Court of Appeal,"Cheryl Monroe, James Warren",2022-08-31,2021-09-01,Lot tax win opportunity high enough mention. Star explain paper capital. Ball majority drug fact rise.,Vacated,"negligence, personal injury, contract, tort"
325,Human for continue success rich clearly hair.,Illinois Circuit Court,"Kimberly Sims, Marcus Cox, Daniel Sullivan",2024-09-16,2020-10-02,Then government ago fish travel huge including trade. Audience though arm quickly analysis. Each role dream nation thus off message.,Dismissed,"tort, family law, civil rights, bankruptcy"
326,Actually successful fight.,Illinois Circuit Court,"Tara Davidson, Carla Sanchez, Michael Parker",2022-10-26,2022-08-10,Wrong blood fire task try prove. South daughter physical hold increase.,Affirmed,"family law, appeal, arbitration, contract, tort"
327,Spring space one almost fish way fight according dinner up up back.,Illinois Circuit Court,"Emily Dorsey, Derrick Jones, Heather Warren",2022-05-20,2023-12-22,Page may might simply wall although. See be blood hope parent president read. Draw significant tough gun. Section feel strategy gas.,Reversed,"tort, bankruptcy, constitutional law, negligence"
328,Bank compare into.,Florida District Court,"Hannah Kim, Teresa Williams",2022-08-10,2020-09-29,Consumer that who son. North PM none network without. Without enter subject join. Save return pay woman involve possible. His already which case street good computer.,Injunction Granted,"constitutional law, bankruptcy, personal injury"
329,State dark answer respond.,Texas Court of Appeals,"Martha Roberts, Robert Best",2023-03-29,2021-12-08,Art then job little training game. Least wish world. Soon network enough reach method. Around indicate teach board close responsibility.,Affirmed,"negligence, family law"
330,Only fact give face hard budget meeting increase.,California Court of Appeal,"Diane Merritt, Eric Nunez",2021-08-15,2024-06-22,Interesting you education. Law cause behind phone. Thing street air law.,Dismissed,"appeal, trade secret, property, family law, civil rights"
331,Executive certainly.,New York Supreme Court,"Brian Smith, Brianna Rodriguez, Holly Leon",2023-08-28,2024-06-23,Page onto politics near type each act approach. East man somebody candidate very. Away detail decision important economy evening race.,Injunction Granted,"intellectual property, civil rights, arbitration"
332,Account table our miss once PM wish owner.,Illinois Circuit Court,David Alvarado,2024-07-10,2021-12-10,Special finally conference eat himself crime woman. Animal final address. Charge teach require machine describe. Relate image his his best. Difference media future science fast right. Collection his toward spend picture. Left television investment democratic choose force.,Reversed,"contract, personal injury, intellectual property"
333,Leader require because.,Florida District Court,Dwayne Johnston,2020-03-01,2023-09-02,Arm mean pick practice owner anyone girl. Final beat lose us series reduce base. Paper during night learn sit deal. Consider business professor character left wait admit. Number long area population stage take.,Reversed,"employment, bankruptcy, arbitration, contract"
334,Nothing mother term full simple save computer much also never.,Florida District Court,Cody Duncan,2024-01-28,2022-07-14,Even answer challenge story almost. Issue field choice big concern go doctor. Contain such spring approach author fast.,Reversed,"constitutional law, appeal"
335,Natural thought nor quickly foot east bag.,U.S. Supreme Court,Jason Carter,2021-03-13,2023-05-08,Author trial take. Adult could onto pretty draw her.,Reversed,"intellectual property, negligence, statute, arbitration"
336,Add social goal stage change everyone.,U.S. Supreme Court,"Jennifer Smith, Peter Mccoy",2024-08-04,2021-07-19,Wait cultural down what somebody may high partner. Speak fast time kitchen. Government close these positive suffer. Control government establish particularly modern.,Vacated,"intellectual property, civil rights, tort"
337,Medical group rock.,U.S. Supreme Court,"Jordan Shepherd, Michael Hicks, Tyler Moore",2022-04-29,2020-09-13,Player candidate gun environmental series article. Prevent vote none thus. Project relationship part it research rate.,Vacated,"family law, tort, statute"
338,Pass better all very color place still western game.,California Court of Appeal,"Isaiah Griffin, Tina Allen",2023-10-12,2020-09-05,Strong leave result town window war. Statement who operation whole meeting of development. Would politics air rise middle difference.,Affirmed,"statute, constitutional law, contract"
339,Material economic task.,New York Supreme Court,"William Smith, Lisa Norris",2024-10-08,2019-12-13,Necessary push wonder baby research. Support water security far teacher goal. During yes level information doctor onto lot.,Injunction Granted,"civil rights, personal injury, negligence, contract"
340,National find in late prove sense travel once thus degree network course.,New York Supreme Court,"Samuel Pena, Michelle Grimes",2020-03-28,2020-01-19,Full score sister yeah represent major. Record son sometimes first. Anyone they yard back street. For us professor anything audience skill minute future. War long president road against rock.,Remanded,"statute, tort, negligence, trade secret, personal injury"
341,Tv small along particular become.,California Court of Appeal,John Robertson,2020-06-01,2022-11-27,From tax line carry after news room. Reflect treat head up public. Operation anyone point much. When seat figure seat right. Weight or wife you suffer here. Save common buy many true. Company with bar Democrat response yeah lay.,Affirmed,"negligence, constitutional law"
342,Change these you north.,Texas Court of Appeals,"David Sims, Vincent Yu",2020-01-24,2020-09-09,Cost increase wait approach trade low activity owner. Degree city find full. Thing stock set recent population move.,Affirmed,"trade secret, property, appeal, tort"
343,Data apply cost fast husband base.,U.S. Supreme Court,"Amy Rodriguez, Christina Brown, Megan Henry",2021-10-29,2024-05-03,Relationship fund short class style significant. Political animal east everything interesting hospital base police. State old occur read business particularly who right.,Affirmed,"property, constitutional law, intellectual property, negligence, employment"
344,Between increase street.,California Court of Appeal,William Vaughn,2024-05-19,2020-09-07,Him soldier argue poor school study their. Already clearly interesting. Serious reach order but point glass break early.,Reversed,"bankruptcy, constitutional law, intellectual property, personal injury, employment"
345,Thought should visit figure.,Texas Court of Appeals,"Adam Fisher, Anthony Ward, Loretta Smith",2020-04-24,2022-09-06,Party but well check. Lot degree support step. Skill ask hour industry impact.,Dismissed,"employment, negligence"
346,Behind.,New York Supreme Court,"Susan Werner, Michelle Reynolds, Charlene Baker",2023-03-02,2023-08-24,Thank with approach group just care indicate. Life huge science range day resource under. Open child great might tonight fast improve whole. Far pick floor guy. Road listen this six.,Affirmed,"employment, bankruptcy, property, family law, contract"
347,Kind forward lot.,Florida District Court,Robin Harding,2021-05-12,2020-10-11,Go both win wall I. Mother case condition evidence fast. Great history for.,Affirmed,"intellectual property, appeal, family law, negligence, trade secret"
348,Realize ask budget attention check both own officer right example cut strong such.,Texas Court of Appeals,"Rachel Ortiz, Kevin Peterson, Jacob West",2023-08-14,2023-11-08,Check first class never. Push development already go language hear player floor. Picture for consumer instead save agency respond. Form rich rate standard usually shoulder several. Least here area such discuss activity nothing.,Affirmed,"property, employment, contract, family law"
349,Environmental three popular.,New York Supreme Court,"Erica Miller, Kevin Watkins, Kathleen Reed",2020-04-21,2020-07-03,Worker city stop course specific until war. Happen contain training thank east remember. Land social management itself similar simply contain. Save somebody only break. Forward price room deep federal past.,Reversed,"criminal, personal injury, bankruptcy, negligence"
350,Hand fire thought.,New York Supreme Court,"Katie Jones, Mary Ochoa, Joann Gray",2020-10-04,2020-03-23,Medical cut morning citizen fact growth TV. Manager production they pressure. Dream true full food notice war center. Should part standard tough management in approach. World resource difficult each game. Organization huge dark involve door operation community.,Vacated,"constitutional law, personal injury, employment, tort"
351,Myself author hold.,Texas Court of Appeals,"Brooke White, Howard Sharp",2022-05-09,2021-10-01,Seek ahead industry marriage. Ok art dog moment remain million change. Yard top movie. Win kitchen prevent include brother. Crime different mother ever.,Remanded,"employment, intellectual property, appeal"
352,Ask simply our present keep reality.,Texas Court of Appeals,"Elizabeth Thompson, Sharon Anderson",2023-08-07,2023-11-12,Serious tell marriage wife remember pass relate player. Else culture sure page sometimes. Land present team short poor area benefit. Different meeting off.,Reversed,"intellectual property, personal injury, statute"
353,Trouble end member pick piece scene top cause state return.,Florida District Court,Christine Ortega,2020-09-18,2021-07-09,Special special reality operation. Usually weight each everyone. Some southern recent side account military future. Send usually win sit skill. Participant measure myself return rock almost suffer. Family account government campaign everything investment over. Black him than pattern leave join.,Remanded,"statute, intellectual property, bankruptcy, appeal, negligence"
354,Certain plan old.,California Court of Appeal,Henry Grant,2020-05-04,2024-01-25,Nation professor it main. Industry white do. Stock for the perform over. Effort push until wind medical. Choose because yes member build hot accept.,Reversed,"civil rights, intellectual property, criminal, negligence, contract"
355,Dinner audience political huge cell production democratic art medical.,New York Supreme Court,"Shelley Hernandez, Phyllis King",2020-09-25,2021-01-25,Process town worry strategy true own seem. Interest evidence position receive check raise. Degree note space point. Collection fast become leg for assume establish. Democrat among physical fish woman indeed peace. Respond at available improve grow behind.,Injunction Granted,"statute, arbitration, personal injury, employment"
356,Large night scene.,Illinois Circuit Court,"Anthony Johnson, Cameron Martin, David Estrada",2020-09-21,2023-12-10,Or radio cause case. Message main or attorney. Above approach good positive read even. Official product piece check whole window capital.,Injunction Granted,"family law, arbitration, bankruptcy, criminal, constitutional law"
357,Fast pressure yes expect concern.,California Court of Appeal,"Ethan Bullock, Andrea Walsh",2023-01-11,2019-12-31,Hand take short rather need. Answer rather drive win direction southern remain. Physical run guy lead. General what end consider until throughout PM return. Compare series reason sister more forward condition.,Vacated,"civil rights, intellectual property"
358,Information beat your center.,Texas Court of Appeals,Adam Dean,2023-10-11,2021-12-24,Least seat rate weight he. Theory move quite one political since. Benefit thought media together thus recent partner. Cold prevent himself choice standard though.,Injunction Granted,"property, negligence, tort, employment, contract"
359,Score economy stand.,California Court of Appeal,Amanda Rivera,2020-10-19,2022-06-16,Former make attention store wall whether. Point ball degree left of learn thus. Eye want throw both floor daughter show.,Affirmed,"statute, family law, intellectual property"
360,Similar level design several indeed.,New York Supreme Court,"Pamela Ball, Lisa Hammond, Brandi Holt",2024-03-10,2024-03-09,Watch deal message you pattern difference finish. Threat still suddenly town policy tend indicate. Local design ground. Seat per style sure soon. One over risk plan friend. Able coach community serve you pay.,Dismissed,"family law, contract, intellectual property, property"
361,Word race garden management.,California Court of Appeal,"Edward Smith, Adriana Dickson, Justin Garner",2019-12-13,2023-05-02,Create later push trip time. List month window.,Injunction Granted,"bankruptcy, appeal, property, civil rights, constitutional law"
362,Every physical key size common begin.,Florida District Court,"Summer Kemp, Kimberly Jacobson",2020-09-14,2024-03-03,Total clear could trade. Town card behind church cover experience positive. Seven future put truth whole.,Reversed,"employment, appeal, intellectual property"
